Year,Midterm1,Midterm2,Final
2004,80,97.79411,79.44444444
2004,78.125,55.88235,34.44444444
2004,88.4375,97.79411,83.88888889
2004,90,85.29411,97.77777778
2004,88.125,100,98.88888889
2004,74.4375,76.47058,43.88888889
2004,76.125,62.5,1.666666667
2004,75,81.25,46.66666667
2004,90,88.60294,46.66666667
2004,84.375,81.61764,65
2004,81.25,73.89705,41.66666667
2004,77.1875,87.13235,61.11111111
2004,66.875,92.64705,30
2004,66.875,80.5147,30
2004,98.125,98.89705,78.88888889
2004,86.25,94.85294,91.11111111
2004,60.3125,81.61764,35.55555556
2004,98.125,100,98.88888889
2004,73.8125,83.45588,75
2004,79.6875,58.08823,62.22222222
2004,94.375,95.22058,96.11111111
2004,79.5,86.02941,70.55555556
2004,89.5625,90.07352,73.88888889
2004,80.6875,82.72058,41.11111111
2004,72.5,65.80882,19.44444444
2004,61.75,90.80882,50.55555556
2004,58.4375,72.79411,35
2004,83.8125,79.77941,52.77777778
2004,82.25,84.55882,51.11111111
2004,41.25,63.23529,25.55555556
2004,64.6875,72.79411,57.77777778
2004,87.5,99.2647,90
2004,86.875,91.17647,53.33333333
2004,64.25,69.11764,27.77777778
2004,85.9375,77.57352,2.777777778
2004,35,18.0147,0
2004,83.4375,98.89705,93.33333333
2004,74.0625,61.7647,12.22222222
2004,85.3125,84.92647,88.88888889
2004,61.25,35.29411,6.111111111
2004,80.625,91.17647,97.77777778
2004,80.9375,66.91176,40
2004,39.375,79.41176,41.11111111
2004,46.875,66.91176,16.66666667
2004,83.4375,44.11764,30.55555556
2004,55.3125,52.94117,39.44444444
2004,95.375,100,87.77777778
2004,41.25,48.71323,36.66666667
